Dimensione,Thread,Schedule,Variabili,Tempo_Seq(s),Tempo_Par(s),Varianza,Deviazione_Standard,Speedup
512,1,static,P,0.004416,0.004416,0.000000207,0.000455450,1.00x
512,4,static,P,0.004416,0.002298,0.000000156,0.000395250,1.92x
512,8,static,P,0.004416,0.003593,0.000002312,0.001520628,1.23x
512,16,static,P,0.004416,0.003243,0.000000027,0.000163045,1.36x
512,32,static,P,0.004416,0.004967,0.000000108,0.000328481,0.89x
512,64,static,P,0.004416,0.008297,0.000000136,0.000368222,0.53x
512,128,static,P,0.004416,0.016506,0.000001472,0.001213427,0.27x
512,1,static,S,0.004523,0.004523,0.000001493,0.001221934,1.00x
512,4,static,S,0.004523,0.004108,0.000000059,0.000242018,1.10x
512,8,static,S,0.004523,0.004053,0.000000013,0.000112004,1.12x
512,16,static,S,0.004523,0.004042,0.000000017,0.000130630,1.12x
512,32,static,S,0.004523,0.004077,0.000000025,0.000158117,1.11x
512,64,static,S,0.004523,0.004058,0.000000017,0.000128552,1.11x
512,128,static,S,0.004523,0.004060,0.000000032,0.000177670,1.11x
512,1,dynamic,P,0.004311,0.004311,0.000000254,0.000503768,1.00x
512,4,dynamic,P,0.004311,0.001885,0.000000082,0.000286686,2.29x
512,8,dynamic,P,0.004311,0.003592,0.000001574,0.001254657,1.20x
512,16,dynamic,P,0.004311,0.002936,0.000000040,0.000199205,1.47x
512,32,dynamic,P,0.004311,0.004654,0.000000080,0.000282958,0.93x
512,64,dynamic,P,0.004311,0.007938,0.000000202,0.000448993,0.54x
512,128,dynamic,P,0.004311,0.014410,0.000000572,0.000756110,0.30x
512,1,dynamic,S,0.004103,0.004103,0.000000031,0.000177305,1.00x
512,4,dynamic,S,0.004103,0.004057,0.000000024,0.000153307,1.01x
512,8,dynamic,S,0.004103,0.004092,0.000000027,0.000164432,1.00x
512,16,dynamic,S,0.004103,0.004459,0.000001422,0.001192502,0.92x
512,32,dynamic,S,0.004103,0.003973,0.000000023,0.000150487,1.03x
512,64,dynamic,S,0.004103,0.003989,0.000000073,0.000270913,1.03x
512,128,dynamic,S,0.004103,0.003990,0.000000024,0.000154199,1.03x
512,1,guided,P,0.004517,0.004517,0.000000480,0.000693031,1.00x
512,4,guided,P,0.004517,0.001980,0.000000544,0.000737253,2.28x
512,8,guided,P,0.004517,0.007239,0.000008232,0.002869208,0.62x
512,16,guided,P,0.004517,0.003325,0.000000291,0.000539832,1.36x
512,32,guided,P,0.004517,0.004841,0.000000240,0.000489609,0.93x
512,64,guided,P,0.004517,0.008067,0.000000163,0.000403125,0.56x
512,128,guided,P,0.004517,0.015060,0.000003944,0.001985852,0.30x
512,1,guided,S,0.004163,0.004163,0.000000040,0.000200670,1.00x
512,4,guided,S,0.004163,0.004186,0.000000115,0.000338633,0.99x
512,8,guided,S,0.004163,0.004178,0.000000027,0.000165353,1.00x
512,16,guided,S,0.004163,0.004148,0.000000011,0.000105521,1.00x
512,32,guided,S,0.004163,0.004162,0.000000017,0.000132072,1.00x
512,64,guided,S,0.004163,0.004182,0.000000031,0.000177151,1.00x
512,128,guided,S,0.004163,0.004159,0.000000016,0.000127983,1.00x
1024,1,static,P,0.017316,0.017316,0.000000236,0.000485558,1.00x
1024,4,static,P,0.017316,0.007500,0.000002368,0.001538922,2.31x
1024,8,static,P,0.017316,0.007501,0.000002028,0.001423940,2.31x
1024,16,static,P,0.017316,0.007491,0.000000745,0.000863074,2.31x
1024,32,static,P,0.017316,0.009529,0.000000768,0.000876287,1.82x
1024,64,static,P,0.017316,0.013108,0.000006560,0.002561282,1.32x
1024,128,static,P,0.017316,0.018702,0.000000808,0.000898890,0.93x
1024,1,static,S,0.016137,0.016137,0.000000182,0.000426226,1.00x
1024,4,static,S,0.016137,0.016218,0.000000264,0.000513612,1.00x
1024,8,static,S,0.016137,0.016158,0.000000063,0.000250646,1.00x
1024,16,static,S,0.016137,0.016277,0.000000062,0.000249717,0.99x
